Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-07-09,183.749,184.468,181.766,182.641,227310.43902154
2021-07-12,184.778,196.241,184.68,196.096,1063001.6514348
2021-07-13,196.728,200.275,195.562,197.65,429384.52067709
2021-07-14,197.214,197.408,189.927,190.356,338765.44179007
2021-07-15,190.393,192.025,187.616,189.363,411892.92624383
2021-07-16,189.383,192.317,187.984,188.605,287317.94097389
2021-07-19,188.082,188.471,179.377,180.989,523533.21042221
2021-07-20,181.533,183.418,179.862,182.252,411328.84728487
2021-07-21,182.641,188.704,175.258,179.221,428093.72685497
2021-07-22,181.961,185.555,179.961,180.737,261591.61721289
2021-07-23,182.156,183.69,180.562,180.97,225900.24162417
2021-07-26,183.517,183.517,177.143,178.755,348681.08524182
2021-07-27,179.163,179.513,176.054,177.998,326404.08372797
2021-07-28,177.998,178.814,171.761,178.542,688762.02504199
2021-07-29,180.698,183.904,177.647,178.755,555860.69908056
2021-07-30,177.453,179.533,173.547,179.473,316113.7600918
2021-08-02,178.25,178.25,169.623,170.012,853095.31284738
2021-08-03,171.955,172.323,169.138,170.517,423435.95807896
2021-08-04,170.517,172.926,167.738,170.11,251288.94148274
2021-08-05,170.867,174.655,169.759,173.158,299098.75061838
2021-08-06,173.218,173.256,168.554,169.158,187129.07726687
2021-08-09,170.012,170.245,165.795,167.097,236868.9010887
2021-08-10,167.679,167.875,161.424,161.424,542488.52799349
2021-08-11,161.462,163.755,159.403,162.59,233130.33397392
2021-08-12,162.239,163.289,160.043,162.104,180683.3428856
2021-08-13,162.823,167.951,161.735,164.086,203287.67489022
2021-08-16,164.086,165.639,160.296,160.296,287395.14156133
2021-08-17,160.783,166.65,159.811,166.145,408395.22496188
2021-08-18,165.29,165.543,161.754,161.851,221199.2405192
2021-08-19,162.317,163.871,159.889,163.503,198573.29235009
2021-08-20,163.483,163.503,159.694,161.016,424810.12853553
2021-08-23,161.424,162.997,159.52,160.51,197015.89916598
2021-08-24,161.482,162.123,160.315,161.054,184182.07350871
2021-08-25,160.996,161.656,159.461,160.86,236665.09153785
2021-08-26,160.278,166.027,158.548,163.25,473549.43274405
2021-08-27,163.426,163.678,160.783,162.997,211654.15988719
2021-08-30,163.094,165.038,159.714,162.842,453232.2968102
2021-08-31,162.997,167.699,162.511,164.494,739099.89608124
2021-09-01,166.126,168.943,164.572,165.503,451490.65155739
2021-09-02,174.87,187.459,174.482,184.565,1666552.7560757
2021-09-03,184.565,186.585,179.726,181.689,438712.41032308
2021-09-06,182,183.807,179.745,182.641,307194.5188887
2021-09-07,181.573,182.233,176.618,179.726,437191.04407978
2021-09-08,179.726,179.726,173.218,173.411,479737.83183384
2021-09-09,172.83,175.53,171.566,175.53,335210.09740282
2021-09-10,175.549,178.619,174.073,176.249,316798.27196718
2021-09-13,177.064,183.321,176.326,182.582,503716.33429503
2021-09-14,183.613,184.351,178.988,183.398,440062.90593283
2021-09-15,182.058,186.138,181.321,185.421,361138.17203235
2021-09-16,185.555,190.899,185.555,190.763,615461.61127235
2021-09-17,191.385,193.735,186.8,189.441,1110942.1868985
2021-09-20,186.644,186.78,178.755,179.163,395580.95678676
2021-09-21,178.949,182.641,177.784,179.533,377870.11268513
2021-09-22,180.892,187.188,180.504,184.68,456825.7268206
2021-09-23,185.555,190.899,184.992,187.498,264537.59162989
2021-09-24,187.245,187.305,178.774,178.774,373853.62345554
2021-09-27,180.114,180.834,172.149,176.015,304497.64503388
2021-09-28,175.16,179.726,173.898,178.581,237674.87522166
2021-09-29,178.755,181.573,177.784,178.853,141640.43246048
2021-09-30,180.795,186.332,179.221,186.332,374833.55624554
2021-10-01,185.069,189.83,181.203,184.137,446535.40318442
2021-10-04,182.757,182.757,177.298,178.853,435664.53113065
2021-10-05,178.755,188.471,177.298,188.471,531744.26490313
2021-10-06,187.207,188.256,182.641,187.634,386781.1191589
2021-10-07,184.584,191.676,184.274,188.568,509271.68856775
2021-10-08,188.353,191.093,187.168,189.306,260580.80418791
2021-10-11,189.209,192.26,187.305,189.635,280257.68991653
2021-10-12,189.598,198.962,189.598,198.089,636160.63277878
2021-10-13,197.262,203.431,195.076,202.897,414343.78755999
2021-10-14,202.848,205.957,193.619,194.299,594594.80715587
2021-10-15,195.076,195.271,182.661,182.757,992158.27502829
2021-10-18,183.418,186.041,180.795,183.67,344148.89608807
2021-10-19,183.71,191.89,183.71,191.851,312721.05160878
2021-10-20,191.385,191.948,187.984,188.082,215183.77074529
2021-10-21,178.191,179.202,170.75,175.841,1297394.9870193
2021-10-22,175.841,179.708,175.841,179.027,297994.2675473
2021-10-25,180.213,182.33,179.436,181.865,229327.94770684
2021-10-26,181.922,183.127,176.812,176.812,221606.85962093
2021-10-27,176.638,177.919,171.178,172.946,358936.41127835
2021-10-28,173.878,175.374,167.895,167.895,380865.49547809
2021-10-29,169.138,172.149,167.66,168.923,394925.26646403
2021-11-02,171.178,171.178,165.795,168.477,332671.74208754
2021-11-03,168.866,172.266,168.069,168.652,418739.07433866
2021-11-04,169.059,176.423,168.283,175.937,289661.7508088
2021-11-05,176.812,177.978,172.362,173.723,212773.0537346
2021-11-08,173.723,176.695,173.139,173.898,88210.420558664
2021-11-09,173.315,177.647,173.158,176.521,200668.00162284
2021-11-10,177.064,177.298,173.275,175.589,152835.54698154
2021-11-12,177.298,181.941,176.89,179.533,314762.2351409
2021-11-15,179.454,184.448,178.094,178.094,265436.20646778
2021-11-16,178.755,182.019,177.181,177.784,254605.47871948
2021-11-17,179.241,179.241,174.111,174.81,204752.42736939
2021-11-18,174.79,176.695,172.926,176.17,186585.58513125
2021-11-19,174.87,184.196,173.411,183.613,477514.45491535
2021-11-22,183.613,191.87,181.281,188.937,622189.38513311
2021-11-23,188.471,195.271,184.972,195.271,988052.23311724
2021-11-24,194.184,195.271,181.184,181.223,572849.97502484
2021-11-25,183.613,185.536,179.902,181.746,200582.56630606
2021-11-26,179.726,181.475,175.937,180.232,570059.43112389
2021-11-29,181.669,193.134,181.612,186.06,554693.42619835
2021-11-30,174.87,181.184,170.303,179.241,1003710.5709339
2021-12-01,178.309,180.309,173.023,179.726,464200.95627474
2021-12-02,177.298,178.464,172.441,174.87,371731.12197131
2021-12-03,176.405,178.347,174.79,176.287,640124.62560891
2021-12-06,176.91,180.057,175.937,178.755,286826.94523773
2021-12-07,179.629,184.274,178.173,180.29,375646.73576664
2021-12-08,180.114,182.7,178.309,180.892,257292.05916265
2021-12-09,178.755,181.437,173.489,175.006,328432.91516609
2021-12-10,174.655,176.133,172.984,173.45,151710.47708714
2021-12-13,173.567,178.347,173.567,177.415,274479.99795197
2021-12-14,177.415,179.008,167.991,167.991,460668.25739315
2021-12-15,168.263,176.386,168.011,173.898,381667.35224638
2021-12-16,178.27,181.903,175.841,178.716,477974.57041654
2021-12-17,177.512,183.67,176.91,183.573,774745.98065868
2021-12-20,178.988,187.537,178.814,187.537,420726.73213015
2021-12-21,185.555,187.498,181.689,185.906,227033.54624791
2021-12-22,185.944,192.2,185.555,192.2,344169.48291139
2021-12-23,192.2,192.22,185.769,189.034,230924.45585526
2021-12-27,185.73,191.637,182.836,189.714,309868.74723789
2021-12-28,188.471,189.635,184.196,185.069,267638.99656294
2021-12-29,184.099,187.984,183.146,184.7,167459.39692642
2021-12-30,183.807,187.402,183.807,187.402,167594.24061916
2022-01-03,187.382,196.145,186.876,194.881,669881.84937583
2022-01-04,195.173,196.048,192.065,192.803,528921.81142605
2022-01-05,192.357,198.185,191.579,198.185,359128.89807639
2022-01-07,194.688,195.806,190.296,192.977,546224.00708478
2022-01-10,192.939,193.969,182.739,182.739,415174.46588093
2022-01-11,184.099,187.596,182.836,183.185,353619.86415613
2022-01-12,183.904,191.053,180.698,190.413,539365.50689595
2022-01-13,187.498,192.123,186.528,187.518,303088.47697767
2022-01-14,187.459,189.772,184.292,185.555,264232.90664476
2022-01-17,186.041,186.352,183.321,185.555,117164.75821614
2022-01-18,184.584,202.169,181.145,188.471,1512092.9087343
2022-01-19,186.528,186.896,181.669,182.389,557706.30779114
2022-01-20,183.904,186.876,182.136,184.584,406188.31750203
2022-01-21,183.613,185.555,178.91,180.698,388155.28961547
2022-01-24,179.726,182.156,170.982,172.926,507184.18468317
2022-01-25,172.926,175.725,167.486,167.895,530417.4441402
2022-01-26,168.554,172.149,167.117,168.186,325398.41740882
2022-01-27,167.059,170.71,163.755,170.399,277831.53278835
2022-01-28,170.012,171.857,161.365,161.482,488256.65932337
2022-01-31,164.377,174.927,161.754,174.927,539691.80804556
2022-02-01,176.113,180.6,172.751,175.782,914238.17810578
2022-02-02,176.812,181.281,175.782,180.543,383873.23036504
2022-02-03,178.017,180.543,177.258,179.726,115831.76140621
2022-02-04,177.784,182,172.81,172.81,370936.47059119
2022-02-07,172.946,176.152,170.982,174.442,418972.73478334
2022-02-08,174.15,174.87,168.458,173.373,509571.22684704
2022-02-09,174.675,178.366,172.867,178.366,374633.86405934
2022-02-10,178.562,178.755,173.082,176.306,203620.15208682
2022-02-11,175.607,175.607,171.761,172.946,249681.11058149
2022-02-14,168.73,175.627,167.971,173.703,480131.04015924
2022-02-15,174.87,182.019,174.305,175.705,640543.56746346
2022-02-16,182.156,182.641,175.062,176.618,344025.37514815
2022-02-17,176.812,178.562,173.509,174.87,356215.8625767
2022-02-18,174.87,177.123,169.818,169.818,282204.17406137
2022-02-21,171.527,172.149,163.58,164.183,331853.4158606
2022-02-22,161.268,166.223,154.663,166.223,415275.34131519
2022-02-23,170.73,174.773,164.183,164.572,430564.14565329
2022-02-24,155.44,159.326,145.92,155.303,785558.18026598
2022-02-25,159.637,162.705,155.652,159.714,439587.35031415
2022-02-28,156.819,165.155,154.506,163.599,672641.5130418
2022-03-01,165.155,167.059,162.162,163.503,615002.52511233
2022-03-02,162.239,170.012,161.249,167.603,598927.30412344
2022-03-03,166.611,167.097,158.354,158.354,447135.50908419
2022-03-04,158.354,161.152,155.012,156.683,321739.10956382
2022-03-07,153.496,158.82,150.582,158.237,595599.44413386
2022-03-08,157.382,160.18,151.553,153.457,450046.48590154
2022-03-09,155.829,159.811,155.594,157.441,361546.82047524
2022-03-10,158.082,159.694,153.496,153.496,307352.00808711
2022-03-11,155.77,160.568,154.001,158.859,353534.42883935
2022-03-14,158.976,161.947,155.944,158.062,308915.5773182
2022-03-15,158.354,164.572,157.13,162.162,367107.32145378
2022-03-16,164.183,167.447,161.327,165.446,533255.33773477
2022-03-17,166.611,168.943,163.988,168.069,399425.54604164
2022-03-18,168.826,169.41,163.406,165.27,523940.82952394
2022-03-21,163.755,167.875,163.406,166.436,188524.86388793
2022-03-22,181.612,181.806,166.786,169.215,1141265.5483067
2022-03-23,169.895,176.229,169.331,172.886,506318.5087626
2022-03-24,172.926,172.946,169.04,170.963,244837.03105445
2022-03-25,171.08,173.839,169.04,170.439,225656.28776783
2022-03-28,170.127,173.761,168.826,171.371,213123.02973103
